Credit_amount,Personal_status,Property_magnitude,Age,Housing,Existing_credits,Job,Own_telephone,Foreign_worker,Class
1169.0,male single,real estate,67.0,own,2,skilled,yes,1,1
5951.0,female div/dep/mar,real estate,22.0,own,1,skilled,none,1,0
2096.0,male single,real estate,49.0,own,1,unskilled resident,none,1,1
7882.0,male single,life insurance,45.0,for free,1,skilled,none,1,1
4870.0,male single,no known property,53.0,for free,2,skilled,none,1,0
9055.0,male single,no known property,35.0,for free,1,unskilled resident,yes,1,1
2835.0,male single,life insurance,53.0,own,1,skilled,none,1,1
6948.0,male single,car,35.0,rent,1,high qualif/self emp/mgmt,yes,1,1
3059.0,male div/sep,real estate,61.0,own,1,unskilled resident,none,1,1
5234.0,male mar/wid,car,28.0,own,2,high qualif/self emp/mgmt,none,1,0
1295.0,female div/dep/mar,car,25.0,rent,1,skilled,none,1,0
4308.0,female div/dep/mar,life insurance,24.0,rent,1,skilled,none,1,0
1567.0,female div/dep/mar,car,22.0,own,1,skilled,yes,1,1
1199.0,male single,car,60.0,own,2,unskilled resident,none,1,0
1403.0,female div/dep/mar,car,28.0,rent,1,skilled,none,1,1
1282.0,female div/dep/mar,car,32.0,own,1,unskilled resident,none,1,0
2424.0,male single,life insurance,53.0,own,2,skilled,none,1,1
8072.0,male single,car,25.0,own,3,skilled,none,1,1
12579.0,female div/dep/mar,no known property,44.0,for free,1,high qualif/self emp/mgmt,yes,1,0
3430.0,male single,car,31.0,own,1,skilled,yes,1,1
2134.0,male single,car,48.0,own,3,skilled,yes,1,1
2647.0,male single,real estate,44.0,rent,1,skilled,none,1,1
2241.0,male single,real estate,48.0,rent,2,unskilled resident,none,0,1
1804.0,male single,life insurance,44.0,own,1,skilled,none,1,1
2069.0,male mar/wid,car,26.0,own,2,skilled,none,0,1
1374.0,male single,real estate,36.0,own,1,unskilled resident,yes,1,1
426.0,male mar/wid,car,39.0,own,1,unskilled resident,none,1,1
409.0,female div/dep/mar,real estate,42.0,rent,2,skilled,none,1,1
2415.0,male single,real estate,34.0,own,1,skilled,none,1,1
6836.0,male single,no known property,63.0,own,2,skilled,yes,1,0
1913.0,male mar/wid,real estate,36.0,own,1,skilled,yes,1,1
4020.0,male single,car,27.0,own,1,skilled,none,1,1
5866.0,male single,car,30.0,own,2,skilled,yes,1,1
1264.0,male single,no known property,57.0,rent,1,unskilled resident,none,1,1
1474.0,female div/dep/mar,life insurance,33.0,own,1,high qualif/self emp/mgmt,yes,1,1
4746.0,male single,life insurance,25.0,own,2,unskilled resident,none,1,0
6110.0,male single,no known property,31.0,for free,1,skilled,yes,1,1
2100.0,male single,real estate,37.0,own,1,skilled,none,1,0
1225.0,male single,car,37.0,own,1,skilled,yes,1,1
458.0,male single,real estate,24.0,own,1,skilled,none,1,1
2333.0,male single,car,30.0,own,1,high qualif/self emp/mgmt,none,1,1
1158.0,male div/sep,car,26.0,own,1,skilled,yes,1,1
6204.0,male single,real estate,44.0,own,1,unskilled resident,yes,1,1
6187.0,male mar/wid,car,24.0,rent,2,skilled,none,1,1
6143.0,female div/dep/mar,no known property,58.0,for free,2,unskilled resident,none,1,0
1393.0,female div/dep/mar,car,35.0,own,2,high qualif/self emp/mgmt,none,1,1
2299.0,male single,car,39.0,own,1,skilled,none,1,1
1352.0,female div/dep/mar,life insurance,23.0,rent,1,unemp/unskilled non res,yes,1,1
7228.0,male single,life insurance,39.0,own,2,unskilled resident,none,1,1
2073.0,female div/dep/mar,real estate,28.0,own,1,skilled,none,1,1
2333.0,male single,life insurance,29.0,own,1,unskilled resident,none,1,1
5965.0,male single,car,30.0,own,2,high qualif/self emp/mgmt,yes,1,1
1262.0,male single,car,25.0,own,1,skilled,none,1,1
3378.0,male single,life insurance,31.0,own,1,skilled,yes,1,1
2225.0,male single,no known property,57.0,for free,2,skilled,yes,1,0
783.0,male single,real estate,26.0,own,1,unskilled resident,none,1,1
6468.0,male single,no known property,52.0,own,1,high qualif/self emp/mgmt,yes,1,0
9566.0,female div/dep/mar,car,31.0,own,2,skilled,none,1,1
1961.0,female div/dep/mar,car,23.0,own,1,high qualif/self emp/mgmt,none,1,1
6229.0,female div/dep/mar,no known property,23.0,rent,2,unskilled resident,yes,1,0
1391.0,male mar/wid,real estate,27.0,own,1,skilled,yes,1,1
1537.0,male single,real estate,50.0,own,2,skilled,yes,1,1
1953.0,male single,no known property,61.0,for free,1,high qualif/self emp/mgmt,yes,1,0
14421.0,male single,car,25.0,own,1,skilled,yes,1,0
3181.0,female div/dep/mar,life insurance,26.0,own,1,skilled,yes,1,1
5190.0,male single,life insurance,48.0,own,4,skilled,yes,1,1
2171.0,female div/dep/mar,car,29.0,own,1,skilled,none,1,1
1007.0,male mar/wid,real estate,22.0,own,1,skilled,none,1,1
1819.0,male single,no known property,37.0,for free,1,skilled,yes,1,0
2394.0,female div/dep/mar,car,25.0,own,1,skilled,none,1,1
8133.0,female div/dep/mar,life insurance,30.0,own,1,skilled,none,1,1
730.0,male single,life insurance,46.0,rent,2,unskilled resident,yes,1,1
1164.0,male single,no known property,51.0,for free,2,high qualif/self emp/mgmt,yes,1,1
5954.0,female div/dep/mar,real estate,41.0,own,2,unskilled resident,none,1,1
1977.0,male single,no known property,40.0,own,1,high qualif/self emp/mgmt,yes,1,0
1526.0,male single,no known property,66.0,for free,2,high qualif/self emp/mgmt,none,1,1
3965.0,male single,car,34.0,own,1,skilled,none,1,0
4771.0,male single,life insurance,51.0,own,1,skilled,none,1,1
9436.0,male single,life insurance,39.0,own,1,unskilled resident,none,1,1
3832.0,male mar/wid,life insurance,22.0,own,1,skilled,none,1,1
5943.0,female div/dep/mar,car,44.0,own,2,skilled,yes,1,0
1213.0,male single,life insurance,47.0,own,1,skilled,yes,1,1
1568.0,female div/dep/mar,life insurance,24.0,rent,1,unskilled resident,none,1,1
1755.0,female div/dep/mar,real estate,58.0,own,1,unskilled resident,yes,1,1
2315.0,male single,real estate,52.0,own,1,unskilled resident,none,1,1
1412.0,female div/dep/mar,real estate,29.0,own,2,high qualif/self emp/mgmt,yes,1,1
1295.0,female div/dep/mar,life insurance,27.0,own,2,skilled,none,1,1
12612.0,male single,no known property,47.0,for free,1,skilled,yes,1,0
2249.0,male single,car,30.0,own,1,high qualif/self emp/mgmt,yes,1,1
1108.0,male single,real estate,28.0,own,2,skilled,none,1,0
618.0,male single,real estate,56.0,own,1,skilled,none,1,1
1409.0,male single,real estate,54.0,own,1,skilled,none,1,1
797.0,female div/dep/mar,life insurance,33.0,own,1,unskilled resident,none,1,0
3617.0,male single,no known property,20.0,rent,2,skilled,none,1,1
1318.0,male single,real estate,54.0,own,1,skilled,yes,1,1
15945.0,male single,no known property,58.0,rent,1,skilled,yes,1,0
2012.0,female div/dep/mar,car,61.0,own,1,skilled,none,1,1
2622.0,male single,car,34.0,own,1,skilled,none,1,1
2337.0,male single,real estate,36.0,own,1,skilled,none,1,1
7057.0,male single,life insurance,36.0,rent,2,high qualif/self emp/mgmt,yes,1,1
1469.0,male mar/wid,real estate,41.0,rent,1,unskilled resident,none,1,1
2323.0,male single,car,24.0,rent,1,skilled,none,1,1
932.0,female div/dep/mar,real estate,24.0,own,1,skilled,none,1,1
1919.0,male single,car,35.0,rent,1,skilled,yes,1,1
2445.0,male mar/wid,car,26.0,rent,1,skilled,yes,1,1
11938.0,male single,car,39.0,own,2,high qualif/self emp/mgmt,yes,1,0
6458.0,male single,no known property,39.0,own,2,high qualif/self emp/mgmt,yes,1,0
6078.0,male single,car,32.0,own,1,skilled,none,1,1
7721.0,female div/dep/mar,life insurance,30.0,own,1,skilled,yes,0,1
1410.0,male mar/wid,real estate,35.0,own,1,skilled,yes,1,1
1449.0,male div/sep,car,31.0,own,2,skilled,none,1,1
392.0,female div/dep/mar,life insurance,23.0,rent,1,skilled,yes,1,1
6260.0,male single,real estate,28.0,rent,1,unskilled resident,none,1,1
7855.0,female div/dep/mar,real estate,25.0,own,2,skilled,yes,1,0
1680.0,male mar/wid,real estate,35.0,own,1,skilled,none,1,1
3578.0,male single,real estate,47.0,own,1,skilled,yes,1,1
7174.0,female div/dep/mar,car,30.0,own,1,high qualif/self emp/mgmt,yes,1,0
2132.0,female div/dep/mar,real estate,27.0,rent,2,skilled,none,0,1
4281.0,female div/dep/mar,car,23.0,own,2,skilled,none,1,0
2366.0,male div/sep,car,36.0,own,1,high qualif/self emp/mgmt,yes,1,1
1835.0,female div/dep/mar,real estate,25.0,own,2,skilled,yes,1,0
3868.0,female div/dep/mar,car,41.0,rent,2,high qualif/self emp/mgmt,yes,1,1
1768.0,male single,real estate,24.0,rent,1,unskilled resident,none,1,1
781.0,male single,no known property,63.0,for free,2,skilled,yes,1,1
1924.0,female div/dep/mar,real estate,27.0,rent,1,skilled,none,1,0
2121.0,male single,life insurance,30.0,own,2,skilled,none,1,1
701.0,male mar/wid,real estate,40.0,own,1,unskilled resident,none,1,1
639.0,male single,car,30.0,own,1,skilled,none,1,0
1860.0,male single,car,34.0,own,2,high qualif/self emp/mgmt,yes,1,1
3499.0,female div/dep/mar,real estate,29.0,own,2,skilled,none,1,0
8487.0,female div/dep/mar,car,24.0,own,1,skilled,none,1,1
6887.0,male single,life insurance,29.0,own,1,skilled,yes,1,0
2708.0,male single,life insurance,27.0,own,2,unskilled resident,none,1,1
1984.0,male single,no known property,47.0,for free,2,skilled,none,1,1
10144.0,female div/dep/mar,real estate,21.0,own,1,skilled,yes,1,1
1240.0,female div/dep/mar,real estate,38.0,own,2,skilled,yes,1,1
8613.0,male single,car,27.0,own,2,skilled,none,1,1
766.0,male single,real estate,66.0,own,1,unskilled resident,none,1,0
2728.0,male single,real estate,35.0,own,3,skilled,yes,1,1
1881.0,female div/dep/mar,car,44.0,rent,1,unskilled resident,yes,1,1
709.0,male mar/wid,real estate,27.0,own,1,unemp/unskilled non res,none,0,1
4795.0,female div/dep/mar,no known property,30.0,own,1,high qualif/self emp/mgmt,yes,1,1
3416.0,male single,car,27.0,own,1,high qualif/self emp/mgmt,none,1,1
2462.0,male single,car,22.0,own,1,skilled,none,1,0
2288.0,female div/dep/mar,life insurance,23.0,own,1,skilled,yes,1,1
3566.0,male single,car,30.0,own,1,skilled,none,1,1
860.0,female div/dep/mar,no known property,39.0,own,2,skilled,yes,1,1
682.0,female div/dep/mar,car,51.0,own,2,skilled,yes,1,1
5371.0,male single,life insurance,28.0,own,2,skilled,none,1,1
1582.0,male single,car,46.0,own,2,skilled,none,1,1
1346.0,male single,no known property,42.0,for free,1,skilled,yes,1,1
1924.0,male single,life insurance,38.0,own,1,skilled,yes,0,1
5848.0,male single,car,24.0,own,1,skilled,none,1,1
7758.0,female div/dep/mar,no known property,29.0,rent,1,skilled,none,1,1
6967.0,male single,car,36.0,rent,1,high qualif/self emp/mgmt,yes,1,1
1282.0,female div/dep/mar,car,20.0,rent,1,skilled,none,1,0
1288.0,male single,real estate,48.0,own,2,skilled,none,0,1
339.0,male mar/wid,car,45.0,own,1,unskilled resident,none,1,1
3512.0,male single,car,38.0,own,2,skilled,yes,1,1
1898.0,male single,real estate,34.0,own,2,unskilled resident,none,1,1
2872.0,male single,real estate,36.0,own,1,skilled,yes,1,1
1055.0,female div/dep/mar,life insurance,30.0,own,2,skilled,none,1,1
1262.0,male single,life insurance,36.0,own,2,skilled,yes,1,1
7308.0,male single,no known property,70.0,for free,1,high qualif/self emp/mgmt,yes,1,1
909.0,male single,life insurance,36.0,own,1,skilled,none,1,1
2978.0,male single,car,32.0,own,1,skilled,yes,1,1
1131.0,female div/dep/mar,car,33.0,own,1,skilled,none,1,0
1577.0,female div/dep/mar,real estate,20.0,own,1,skilled,none,1,1
3972.0,female div/dep/mar,life insurance,25.0,rent,1,skilled,yes,1,1
1935.0,male div/sep,real estate,31.0,own,2,skilled,yes,1,0
950.0,male single,car,33.0,rent,2,skilled,none,1,0
763.0,female div/dep/mar,real estate,26.0,own,1,skilled,yes,1,1
2064.0,female div/dep/mar,life insurance,34.0,own,1,high qualif/self emp/mgmt,yes,1,0
1414.0,male single,real estate,33.0,own,1,skilled,none,0,1
3414.0,male single,life insurance,26.0,own,2,skilled,none,1,0
7485.0,female div/dep/mar,real estate,53.0,own,1,high qualif/self emp/mgmt,yes,1,0
2577.0,male div/sep,car,42.0,own,1,skilled,none,1,1
338.0,male single,car,52.0,own,2,skilled,none,1,1
1963.0,male single,car,31.0,rent,2,high qualif/self emp/mgmt,yes,1,1
571.0,male single,real estate,65.0,own,2,skilled,none,1,1
9572.0,male div/sep,car,28.0,own,2,skilled,none,1,0
4455.0,male div/sep,real estate,30.0,own,2,high qualif/self emp/mgmt,yes,1,0
1647.0,male single,life insurance,40.0,own,2,unskilled resident,none,1,0
3777.0,male single,real estate,50.0,own,1,skilled,yes,1,1
884.0,male single,car,36.0,own,1,skilled,yes,1,0
1360.0,male single,life insurance,31.0,own,2,skilled,none,1,1
5129.0,female div/dep/mar,no known property,74.0,for free,1,high qualif/self emp/mgmt,yes,1,0
1175.0,male single,car,68.0,for free,3,unemp/unskilled non res,yes,1,1
674.0,male mar/wid,life insurance,20.0,own,1,skilled,none,1,0
3244.0,female div/dep/mar,car,33.0,own,2,skilled,yes,1,1
4591.0,male single,life insurance,54.0,own,3,high qualif/self emp/mgmt,yes,1,0
3844.0,male single,no known property,34.0,for free,1,unskilled resident,none,1,0
3915.0,male single,car,36.0,own,1,skilled,yes,1,0
2108.0,male mar/wid,real estate,29.0,rent,1,skilled,none,1,1
3031.0,male single,life insurance,21.0,rent,1,skilled,none,1,0
1501.0,female div/dep/mar,car,34.0,own,2,high qualif/self emp/mgmt,yes,1,0
1382.0,female div/dep/mar,car,28.0,own,2,skilled,yes,1,1
951.0,female div/dep/mar,car,27.0,rent,4,skilled,none,1,0
2760.0,male single,no known property,36.0,for free,1,skilled,yes,1,1
4297.0,male div/sep,no known property,40.0,own,1,high qualif/self emp/mgmt,yes,1,0
936.0,male single,car,52.0,own,2,skilled,yes,1,1
1168.0,male mar/wid,real estate,27.0,own,1,unskilled resident,none,1,1
5117.0,male single,car,26.0,own,2,skilled,none,1,1
902.0,male mar/wid,life insurance,21.0,rent,1,skilled,none,1,0
1495.0,male single,real estate,38.0,own,2,unskilled resident,none,1,1
10623.0,male single,no known property,38.0,for free,3,high qualif/self emp/mgmt,yes,1,1
1935.0,male single,real estate,43.0,own,3,skilled,yes,1,1
1424.0,male single,life insurance,26.0,own,1,skilled,none,1,1
6568.0,male mar/wid,car,21.0,own,1,unskilled resident,none,1,1
1413.0,male single,life insurance,55.0,own,1,skilled,none,0,1
3074.0,male single,real estate,33.0,own,2,skilled,none,1,1
3835.0,female div/dep/mar,real estate,45.0,own,1,unskilled resident,yes,1,1
5293.0,male single,life insurance,50.0,own,2,skilled,yes,1,0
1908.0,male single,real estate,66.0,own,1,high qualif/self emp/mgmt,yes,1,0
3342.0,male single,car,51.0,own,1,skilled,yes,1,1
932.0,female div/dep/mar,life insurance,39.0,own,2,unskilled resident,none,1,1
3104.0,male single,life insurance,31.0,own,1,skilled,yes,1,1
3913.0,male single,real estate,23.0,own,1,skilled,yes,1,1
3021.0,male div/sep,real estate,24.0,rent,1,unskilled resident,none,1,1
1364.0,female div/dep/mar,car,64.0,own,1,skilled,yes,1,1
625.0,male mar/wid,real estate,26.0,own,1,unskilled resident,none,1,1
1200.0,female div/dep/mar,life insurance,23.0,rent,1,skilled,yes,1,1
707.0,male single,real estate,30.0,own,2,skilled,none,1,1
2978.0,male single,real estate,32.0,own,2,skilled,yes,1,1
4657.0,male single,car,30.0,own,1,skilled,yes,1,1
2613.0,male single,car,27.0,own,2,skilled,none,1,1
10961.0,male single,no known property,27.0,own,2,skilled,yes,1,0
7865.0,male single,no known property,53.0,for free,1,high qualif/self emp/mgmt,yes,1,0
1478.0,male single,car,22.0,own,1,skilled,none,1,0
3149.0,male single,no known property,22.0,for free,1,skilled,none,1,1
4210.0,male single,car,26.0,own,1,skilled,none,1,0
2507.0,male single,no known property,51.0,for free,1,unskilled resident,none,1,1
2141.0,male single,no known property,35.0,own,1,skilled,none,1,1
866.0,male mar/wid,real estate,25.0,own,1,unskilled resident,none,1,1
1544.0,male single,real estate,42.0,own,3,unskilled resident,none,1,1
1823.0,male single,car,30.0,own,1,high qualif/self emp/mgmt,none,1,0
14555.0,male single,life insurance,23.0,own,1,unemp/unskilled non res,yes,1,0
2767.0,male div/sep,car,61.0,rent,2,unskilled resident,none,1,0
1291.0,female div/dep/mar,life insurance,35.0,own,2,skilled,none,1,1
2522.0,male single,life insurance,39.0,own,1,skilled,none,1,1
915.0,female div/dep/mar,car,29.0,own,1,skilled,none,1,0
1595.0,male single,life insurance,51.0,own,1,skilled,none,1,1
4605.0,male single,no known property,24.0,for free,2,skilled,none,1,0
1185.0,female div/dep/mar,real estate,27.0,own,2,skilled,none,1,1
3447.0,female div/dep/mar,real estate,35.0,own,1,unskilled resident,none,1,1
1258.0,male single,real estate,25.0,own,1,skilled,yes,1,1
717.0,male single,real estate,52.0,own,3,skilled,none,1,1
1204.0,male single,no known property,35.0,rent,1,skilled,none,0,1
1925.0,male single,real estate,26.0,own,1,skilled,none,1,1
433.0,female div/dep/mar,real estate,22.0,rent,1,skilled,none,1,0
666.0,female div/dep/mar,real estate,39.0,own,2,unskilled resident,yes,1,1
2251.0,female div/dep/mar,car,46.0,own,1,unskilled resident,none,1,1
2150.0,female div/dep/mar,no known property,24.0,own,1,skilled,none,1,0
4151.0,male single,life insurance,35.0,own,2,skilled,none,1,1
2030.0,male single,car,24.0,own,1,skilled,yes,1,1
7418.0,male single,real estate,27.0,own,1,unskilled resident,none,1,1
2684.0,male single,real estate,35.0,own,2,unskilled resident,none,1,1
2149.0,male div/sep,no known property,29.0,for free,1,skilled,none,1,0
3812.0,female div/dep/mar,car,23.0,own,1,skilled,yes,1,1
1154.0,female div/dep/mar,real estate,57.0,own,3,unskilled resident,none,1,1
1657.0,male single,real estate,27.0,own,1,skilled,none,1,1
1603.0,female div/dep/mar,car,55.0,own,1,skilled,none,1,1
5302.0,male single,no known property,36.0,for free,3,high qualif/self emp/mgmt,yes,1,1
2748.0,female div/dep/mar,no known property,57.0,for free,3,unskilled resident,none,1,1
1231.0,male single,real estate,32.0,own,2,unskilled resident,none,0,1
802.0,male single,car,37.0,own,1,skilled,none,1,0
6304.0,male single,real estate,36.0,own,2,skilled,none,1,1
1533.0,female div/dep/mar,car,38.0,own,1,skilled,yes,1,1
8978.0,male div/sep,life insurance,45.0,own,1,high qualif/self emp/mgmt,yes,0,0
999.0,male single,car,25.0,own,2,skilled,none,1,1
2662.0,male single,life insurance,32.0,own,1,skilled,none,0,1
1402.0,female div/dep/mar,car,37.0,rent,1,skilled,yes,1,1
12169.0,male single,no known property,36.0,for free,1,high qualif/self emp/mgmt,yes,1,1
3060.0,male single,real estate,28.0,own,2,skilled,none,1,0
11998.0,male div/sep,no known property,34.0,own,1,unskilled resident,yes,1,0
2697.0,male single,real estate,32.0,own,1,skilled,none,1,1
2404.0,female div/dep/mar,car,26.0,own,2,skilled,none,1,1
1262.0,male div/sep,life insurance,49.0,own,1,unskilled resident,yes,1,1
4611.0,female div/dep/mar,life insurance,32.0,own,1,skilled,none,1,0
1901.0,male single,car,29.0,rent,1,high qualif/self emp/mgmt,yes,1,1
3368.0,male single,no known property,23.0,rent,2,skilled,yes,1,1
1574.0,male single,real estate,50.0,own,1,skilled,none,1,1
1445.0,male single,car,49.0,own,1,unskilled resident,none,1,1
1520.0,male single,life insurance,63.0,own,1,skilled,none,1,1
3878.0,male div/sep,car,37.0,own,1,skilled,yes,1,1
10722.0,female div/dep/mar,real estate,35.0,own,1,unskilled resident,yes,1,1
4788.0,male single,life insurance,26.0,own,1,skilled,none,1,1
7582.0,male single,no known property,31.0,for free,1,high qualif/self emp/mgmt,yes,1,1
1092.0,female div/dep/mar,real estate,49.0,own,2,skilled,yes,1,1
1024.0,male mar/wid,real estate,48.0,own,1,skilled,none,1,0
1076.0,male mar/wid,real estate,26.0,own,1,skilled,yes,0,1
9398.0,male mar/wid,car,28.0,rent,1,high qualif/self emp/mgmt,yes,1,0
6419.0,female div/dep/mar,no known property,44.0,for free,2,high qualif/self emp/mgmt,yes,1,1
4796.0,male single,no known property,56.0,for free,1,skilled,none,1,1
7629.0,male div/sep,car,46.0,own,2,high qualif/self emp/mgmt,none,1,1
9960.0,female div/dep/mar,car,26.0,own,1,skilled,yes,1,0
4675.0,female div/dep/mar,car,20.0,rent,1,skilled,none,1,1
1287.0,male single,life insurance,45.0,own,1,unskilled resident,none,0,1
2515.0,male single,real estate,43.0,own,1,skilled,yes,1,1
2745.0,male single,car,32.0,own,2,skilled,yes,1,1
672.0,female div/dep/mar,real estate,54.0,own,1,unemp/unskilled non res,yes,1,1
3804.0,female div/dep/mar,car,42.0,own,1,skilled,yes,1,0
1344.0,male single,real estate,37.0,own,2,unskilled resident,none,1,0
1038.0,male single,life insurance,49.0,own,2,skilled,yes,1,1
10127.0,male single,no known property,44.0,for free,1,skilled,none,1,0
1543.0,male div/sep,real estate,33.0,own,1,skilled,none,1,1
4811.0,female div/dep/mar,life insurance,24.0,rent,1,unskilled resident,none,1,1
727.0,male mar/wid,no known property,33.0,own,1,unskilled resident,yes,1,0
1237.0,female div/dep/mar,real estate,24.0,own,1,skilled,none,1,0
276.0,male mar/wid,real estate,22.0,rent,1,unskilled resident,none,1,1
5381.0,male single,no known property,40.0,for free,1,unemp/unskilled non res,yes,1,1
5511.0,male single,car,25.0,own,1,skilled,none,1,1
3749.0,female div/dep/mar,car,26.0,own,1,skilled,none,1,1
685.0,male mar/wid,car,25.0,own,1,unskilled resident,none,1,0
1494.0,male single,real estate,29.0,own,1,unskilled resident,none,0,1
2746.0,male single,car,31.0,own,1,skilled,none,1,0
708.0,male single,life insurance,38.0,own,1,unskilled resident,none,1,1
4351.0,female div/dep/mar,life insurance,48.0,own,1,unskilled resident,yes,1,1
701.0,male single,car,32.0,own,2,skilled,none,1,1
3643.0,female div/dep/mar,life insurance,27.0,own,2,unskilled resident,none,1,1
4249.0,male mar/wid,car,28.0,own,2,high qualif/self emp/mgmt,none,1,0
1938.0,male div/sep,life insurance,32.0,own,1,skilled,none,1,0
2910.0,male single,no known property,34.0,for free,1,high qualif/self emp/mgmt,yes,1,1
2659.0,male single,car,28.0,own,1,skilled,none,1,1
1028.0,female div/dep/mar,real estate,36.0,own,2,skilled,none,1,1
3398.0,male single,real estate,39.0,own,2,unskilled resident,none,0,1
5801.0,male single,life insurance,49.0,rent,1,skilled,yes,1,1
1525.0,female div/dep/mar,car,34.0,own,1,skilled,yes,1,1
4473.0,male single,car,31.0,own,1,skilled,none,1,1
1068.0,male single,car,28.0,own,1,skilled,none,1,1
6615.0,male single,no known property,75.0,for free,2,high qualif/self emp/mgmt,yes,1,1
1864.0,female div/dep/mar,real estate,30.0,own,2,skilled,none,1,0
7408.0,female div/dep/mar,life insurance,24.0,own,1,high qualif/self emp/mgmt,none,1,0
